85	111	206	1
81	106	193	1
84	137	190	2
75	129	167	3
67	99	166	2
103	149	177	3
97	119	197	1
121	145	232	1
83	115	203	1
127	140	225	2
93	154	181	2
76	120	234	1
92	119	202	1
92	114	213	1
84	128	203	1
136	146	232	2
85	137	186	2
73	119	186	2
93	137	201	2
89	139	188	2
78	126	193	2
82	110	189	1
88	141	203	2
110	136	209	1
121	159	191	3
96	125	208	2
94	126	212	2
94	126	213	2
85	136	183	2
122	140	231	1
99	149	183	2
79	122	198	2
117	144	235	1
96	132	204	2
71	134	169	2
65	98	155	2
124	159	196	3
61	90	158	2
87	119	233	1
71	117	182	2
99	147	190	3
87	139	186	2
117	126	201	2
100	139	225	2
55	87	145	2
74	115	185	2
95	111	221	2
76	133	169	3
48	78	140	2
75	130	165	3
69	136	172	2
80	131	178	3
85	140	185	2
61	90	156	2
96	125	198	1
109	135	209	1
72	120	184	2
102	156	177	3
93	148	187	1
67	134	162	2
126	160	196	3
98	132	241	1
98	125	207	1
74	130	164	2
71	127	156	2
86	128	208	2
75	122	180	2
107	131	214	2
127	137	196	2
94	134	199	2
123	145	228	1
84	117	217	2
119	147	218	2
77	134	175	2
71	117	182	1
85	137	181	2
65	99	151	2
96	148	181	2
62	98	148	2
90	114	188	1
85	143	179	3
91	143	191	2
130	142	227	2
60	90	152	2
95	126	204	2
55	88	159	2
110	141	229	1
82	124	199	2
72	129	165	2
80	134	168	3
131	145	230	2
83	107	201	1
86	110	201	1
83	128	200	2
99	112	222	2
76	137	186	2
87	112	204	1
87	112	205	1
88	111	213	1
102	141	227	2
91	141	198	2
78	112	212	1
122	148	227	1
94	153	179	2
95	136	218	2
93	116	201	1
100	141	223	2
78	134	192	2
76	117	194	2
39	66	148	2
139	149	233	2
90	118	184	1
111	141	232	1
78	117	182	2
84	142	178	3
56	90	134	2
102	140	225	2
50	81	139	1
67	138	170	2
38	66	148	2
101	153	178	3
106	133	215	2
97	144	185	3
79	110	223	1
78	135	178	2
71	102	172	2
98	115	211	1
80	125	198	2
71	119	187	2
79	111	183	1
72	107	170	2
135	145	229	2
82	116	224	1
56	105	131	3
69	139	177	2
73	131	181	2
97	147	208	2
118	159	196	3
89	123	185	1
122	147	228	1
92	120	202	2
71	120	153	3
97	133	235	1
71	102	177	2
94	123	209	1
64	87	163	1
74	130	166	3
90	112	211	1
72	121	165	3
112	153	202	2
105	138	227	2
89	130	210	1
103	155	182	3
89	111	210	1
93	131	206	2
60	101	177	2
106	144	217	2
94	124	193	1
96	118	193	1
94	142	202	2
125	162	200	3
67	86	169	1
51	81	153	2
84	116	221	1
69	102	170	2
100	135	237	1
76	115	200	2
65	100	166	1
134	152	233	2
86	109	204	1
87	142	180	2
97	115	220	1
95	112	214	2
40	67	124	2
44	73	148	2
89	129	211	2
78	131	162	3
97	122	210	1
79	124	193	2
103	137	230	2
93	135	201	2
93	119	204	1
70	126	155	2
60	87	154	2
98	126	216	2
88	128	174	1
98	126	214	1
119	154	213	2
93	146	176	2
116	149	217	2
70	135	179	2
89	116	212	1
89	125	184	1
135	167	208	3
82	111	201	1
86	112	202	1
104	150	189	2
103	144	230	2
105	143	216	2
89	127	183	1
79	105	189	1
87	128	173	1
88	129	178	1
64	98	165	1
65	94	167	2
78	107	185	1
100	129	214	2
47	78	135	2
99	148	190	3
121	159	195	3
92	118	202	1
102	132	211	2
63	92	164	2
64	97	167	1
81	141	235	1
112	151	200	2
87	115	210	1
94	149	179	2
72	119	186	2
119	140	229	1
64	94	163	2
122	139	225	2
91	137	186	2
78	110	180	2
86	137	192	2
120	145	235	1
87	144	170	2
82	146	228	1
95	119	214	1
87	142	165	2
88	113	208	1
98	136	200	2
71	134	177	2
50	78	140	2
50	92	118	3
92	143	182	2
86	114	209	1
90	129	183	1
88	138	191	2
75	119	237	1
84	147	235	1
79	110	182	1
70	136	179	2
94	142	199	2
90	113	206	1
117	162	190	3
58	97	166	2
91	119	186	1
81	106	192	1
93	137	194	2
78	109	218	1
85	137	198	2
78	123	236	1
65	116	145	3
86	134	167	3
100	114	221	2
57	106	133	3
57	97	169	2
64	85	169	1
110	140	228	1
86	116	200	1
55	88	152	1
69	99	167	2
90	129	231	1
89	113	193	2
49	89	125	2
60	93	160	1
128	138	204	2
119	154	209	2
94	153	183	2
84	115	222	1
87	118	209	2
102	137	213	2
124	144	229	1
67	137	171	2
123	160	197	3
85	133	190	2
94	116	194	1
93	148	178	2
63	100	150	2
81	132	184	2
102	135	210	2
61	90	157	2
88	141	203	2
78	123	204	2
66	87	169	1
83	118	231	1
85	110	188	1
97	135	204	2
90	143	190	2
49	82	139	2
84	135	243	1
88	144	168	2
99	147	191	3
44	75	135	2
75	120	196	2
92	145	174	2
86	118	226	1
39	69	143	2
65	85	165	1
95	124	209	1
59	91	159	1
127	145	229	1
40	69	148	2
105	141	228	2
100	148	179	3
84	107	216	1
104	126	221	2
71	103	176	2
79	129	174	3
91	116	190	1
101	150	188	2
86	130	177	2
76	109	177	1
78	121	239	1
94	123	209	1
121	144	233	1
94	131	206	2
104	150	191	2
107	155	181	3
60	93	161	1
62	83	170	1
69	137	176	2
93	110	218	1
78	130	180	2
108	152	194	2
102	129	217	2
74	119	197	2
93	131	203	2
66	86	171	1
94	132	197	1
66	117	145	3
53	85	144	2
114	157	190	3
100	128	214	1
70	116	184	2
69	100	172	2
46	77	137	2
118	154	209	2
70	127	155	2
95	126	194	1
101	132	209	2
82	110	189	1
106	138	230	2
92	123	191	1
87	113	181	1
127	147	232	1
70	136	174	2
82	139	237	1
121	158	188	3
79	120	195	2
97	134	228	1
65	96	164	2
80	124	202	2
99	127	207	1
40	67	147	2
91	132	175	1
47	76	150	2
62	101	147	2
56	109	152	1
84	115	197	1
101	140	207	2
95	141	202	2
98	141	206	2
61	90	159	2
98	141	224	2
64	106	180	2
68	110	184	2
105	133	207	1
114	158	190	3
82	130	185	2
63	97	168	1
46	81	135	2
111	137	211	1
121	142	225	2
63	94	164	2
115	151	216	2
70	126	154	2
100	128	212	1
102	133	216	2
68	133	159	2
84	131	241	1
88	123	218	2
70	113	173	2
87	128	173	1
91	146	202	2
71	139	177	2
56	94	162	2
94	138	199	2
79	125	192	2
51	92	119	3
92	141	199	2
100	129	196	1
38	67	147	2
74	132	186	2
87	139	169	3
48	79	137	2
97	140	221	2
85	113	178	1
101	116	227	2
96	122	214	1
